Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,100nF,
"C10, C13, C5",0402,3,0.1u,
"C11, C12, C8",0402,3,18p,
"C15, C4",0603,2,10uF,
C16,0402,1,100nF,
C17,0402,1,0.47uF,
C18,0402,1,1uF,
C2,0603,1,1uF,
C3,CP_Elec_6.3x5.4_Nichicon,1,100uF,
C6,0805,1,10uF,
"C7, C9",0603,2,0.1u,
"D1, D2",D_SOD-323,2,1N5819WS,
J1,IDC-Header_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,
J2,Thonk_narrowPad,1,InputPitchCV,
J3,Thonk_narrowPad,1,CV1,
J4,Thonk_narrowPad,1,CV2,
J5,Thonk_narrowPad,1,GateInput,
J6,PinHeader_1x10_P1.27mm_Vertical,1,Conn_01x10_Pin,
J7,Thonk_narrowPad,1,Output,
J8,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
Q1,SOT-23,1,MMBT3904,
R1,0402,1,1k,
"R13, R15, R19",0402,3,100k,
"R14, R18, R21",0402,3,33k,
"R16, R17, R20",0402,3,200k,
R2,0402,1,12k,
R25,0603,1,100k,
R26,0603,1,2.2k,
"R3, R4",0402,2,47k,
R5,0402,1,10,
R6,0402,1,2.2k,
R7,0603,1,10k,
R8,0603,1,1M,
"RV1, RV2, RV3",ALPS_RK09K_Single_Vertical_20mm,3,10kB,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,TL072,
U2,SOP-8_3.76x4.96mm_P1.27mm,1,PT8211,
U3,RP2040-Zero-THT2,1,RP2040-Zero-throu,
U4,SOT-23,1,LM4040DBZ-10,
"U5, U6",DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm,2,MCP6002-xMC,
U7,SOT-223-3_TabPin2,1,LD1117S50TR_SOT223,
U8,SOT-23-3,1,XC6206PxxxMR,
